"month","mean"
1,183.016813522581
2,172.325188435714
3,196.859714683871
4,253.766726753333
5,289.6608754
6,276.745548646667
7,298.287991632258
8,290.251753496774
9,291.869777156667
10,268.529491054839
11,184.825004096667
12,161.901708845161
