tariff,agent,density,members,income_type,income,behaviour,month,consumption (m3),bill,consumption_per_capita (m3),income_per_capita,practices_changed,devices_changed
Generic blocks,household 319,high density,3,low,555,techno-solutionist,January,21.834,11.83,7.278,185,0,1
Generic blocks,household 506,high density,4,low,646,commited,December,16.542,8.71,4.1355,161.5,1,3
