tariff,agent,density,members,income_type,income,behaviour,month,consumption (m3),bill,consumption_per_capita (m3),income_per_capita,practices_changed,devices_changed
Generic blocks,household 266,high density,1,low,807,commited,January,7.283,7,7.283,807,0,1
Generic blocks,household 80,low density,4,high,3811,client,December,17.514,19.33,4.3785,952.75,4,5
