tariff,agent,density,members,income_type,income,behaviour,month,consumption,bill
Generic blocks,household 305,high density,4,medium,1430,environmentalist,January,28961,17.59
Generic blocks,household 432,high density,4,medium,1088,commited,December,17457,9.27
