tariff,agent,density,members,income_type,income,behaviour,month,consumption,bill
Generic blocks,household 70,medium density,4,medium,962,techno-solutionist,January,29462,47.16
Generic blocks,household 403,medium density,2,medium,1826,client,December,6266,6.31
